model_label,group,repo_id,registry_status,snapshot_path,max_new_tokens,run_status,answer_present_rate,valid_parse_rate,truncation_without_answer_rate,mean_new_tokens,p95_new_tokens,error
Orca-2-7B,main,microsoft/Orca-2-7b,available_local,/Users/sam/.cache/huggingface/hub/models--microsoft--Orca-2-7b/snapshots/60e31e6bdcf582ad103b807cb74b73ee1d2c4b17,128,ok,0.8,0.72,0.18,33.72,128,
Orca-2-7B,main,microsoft/Orca-2-7b,available_local,/Users/sam/.cache/huggingface/hub/models--microsoft--Orca-2-7b/snapshots/60e31e6bdcf582ad103b807cb74b73ee1d2c4b17,192,ok,0.86,0.78,0.1,42.84,192,
Orca-2-7B,main,microsoft/Orca-2-7b,available_local,/Users/sam/.cache/huggingface/hub/models--microsoft--Orca-2-7b/snapshots/60e31e6bdcf582ad103b807cb74b73ee1d2c4b17,256,ok,0.86,0.78,0.1,49.24,256,
Zephyr-7B-beta,main,HuggingFaceH4/zephyr-7b-beta,available_local,/Users/sam/.cache/huggingface/hub/models--HuggingFaceH4--zephyr-7b-beta/snapshots/892b3d7a7b1cf10c7a701c60881cd93df615734c,128,ok,0.46,0.08,0.32,102.8,128,
Zephyr-7B-beta,main,HuggingFaceH4/zephyr-7b-beta,available_local,/Users/sam/.cache/huggingface/hub/models--HuggingFaceH4--zephyr-7b-beta/snapshots/892b3d7a7b1cf10c7a701c60881cd93df615734c,192,ok,0.56,0.12,0.14,129.68,192,
Zephyr-7B-beta,main,HuggingFaceH4/zephyr-7b-beta,available_local,/Users/sam/.cache/huggingface/hub/models--HuggingFaceH4--zephyr-7b-beta/snapshots/892b3d7a7b1cf10c7a701c60881cd93df615734c,256,ok,0.56,0.12,0.06,140.38,256,
Mistral-7B-Instruct-v0.3,mainstream_instruction_prescreen,mistralai/Mistral-7B-Instruct-v0.3,available_local,/Users/sam/.cache/huggingface/hub/models--mistralai--Mistral-7B-Instruct-v0.3/snapshots/c170c708c41dac9275d15a8fff4eca08d52bab71,128,ok,1.0,0.74,0.0,13.36,36,
Mistral-7B-Instruct-v0.3,mainstream_instruction_prescreen,mistralai/Mistral-7B-Instruct-v0.3,available_local,/Users/sam/.cache/huggingface/hub/models--mistralai--Mistral-7B-Instruct-v0.3/snapshots/c170c708c41dac9275d15a8fff4eca08d52bab71,192,ok,1.0,0.74,0.0,13.36,36,
Mistral-7B-Instruct-v0.3,mainstream_instruction_prescreen,mistralai/Mistral-7B-Instruct-v0.3,available_local,/Users/sam/.cache/huggingface/hub/models--mistralai--Mistral-7B-Instruct-v0.3/snapshots/c170c708c41dac9275d15a8fff4eca08d52bab71,256,ok,1.0,0.74,0.0,13.36,36,
Qwen2.5-7B-Instruct,mainstream_instruction_prescreen,Qwen/Qwen2.5-7B-Instruct,available_local,/Users/sam/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,128,ok,1.0,0.96,0.0,8.56,11,
Qwen2.5-7B-Instruct,mainstream_instruction_prescreen,Qwen/Qwen2.5-7B-Instruct,available_local,/Users/sam/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,192,ok,1.0,0.96,0.0,8.56,11,
Qwen2.5-7B-Instruct,mainstream_instruction_prescreen,Qwen/Qwen2.5-7B-Instruct,available_local,/Users/sam/.cache/huggingface/hub/models--Qwen--Qwen2.5-7B-Instruct/snapshots/a09a35458c702b33eeacc393d103063234e8bc28,256,ok,1.0,0.96,0.0,8.56,11,
Yi-1.5-6B-Chat,mainstream_instruction_prescreen,01-ai/Yi-1.5-6B-Chat,available_local,/Users/sam/.cache/huggingface/hub/models--01-ai--Yi-1.5-6B-Chat/snapshots/771924d1c83d67527d665913415d7086f11ea9c0,128,ok,0.9,0.74,0.02,19.02,54,
Yi-1.5-6B-Chat,mainstream_instruction_prescreen,01-ai/Yi-1.5-6B-Chat,available_local,/Users/sam/.cache/huggingface/hub/models--01-ai--Yi-1.5-6B-Chat/snapshots/771924d1c83d67527d665913415d7086f11ea9c0,192,ok,0.9,0.74,0.02,21.1,54,
Yi-1.5-6B-Chat,mainstream_instruction_prescreen,01-ai/Yi-1.5-6B-Chat,available_local,/Users/sam/.cache/huggingface/hub/models--01-ai--Yi-1.5-6B-Chat/snapshots/771924d1c83d67527d665913415d7086f11ea9c0,256,ok,0.9,0.74,0.02,22.38,54,
ChatGLM3-6B,mainstream_instruction_prescreen,THUDM/chatglm3-6b,available_local,/Users/sam/.cache/huggingface/hub/models--THUDM--chatglm3-6b/snapshots/e9e0406d062cdb887444fe5bd546833920abd4ac,128,ok,0.52,0.34,0.46,65.32,128,
ChatGLM3-6B,mainstream_instruction_prescreen,THUDM/chatglm3-6b,available_local,/Users/sam/.cache/huggingface/hub/models--THUDM--chatglm3-6b/snapshots/e9e0406d062cdb887444fe5bd546833920abd4ac,192,ok,0.9,0.62,0.04,19.4,32,
ChatGLM3-6B,mainstream_instruction_prescreen,THUDM/chatglm3-6b,available_local,/Users/sam/.cache/huggingface/hub/models--THUDM--chatglm3-6b/snapshots/e9e0406d062cdb887444fe5bd546833920abd4ac,256,ok,0.9,0.62,0.04,21.96,32,
